        NOTES,            N,           dT,           dt,          dtt,            t,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
         init,            5,     0.000000,     0.000000,     0.000000,     0.000000,            1,     0.000000,     0.000000,     0.324334,     0.324334,            2,     0.125000,     0.015625,     0.471903,     0.339899,            3,     0.250000,     0.062500,     0.686614,     0.391221,            4,     0.375000,     0.140625,     0.999018,     0.494550,            5,     0.500000,     0.250000,     1.453562,     0.686614,
          sim,            5,     2.000000,     0.040000,     0.000040,     0.040000,            1,     0.012973,     0.012973,     0.324334,     0.324334,            2,     0.143876,     0.029221,     0.471903,     0.339899,            3,     0.277465,     0.078149,     0.686614,     0.391221,            4,     0.414961,     0.160407,     0.999018,     0.494550,            5,     0.558142,     0.277465,     1.453562,     0.686614,
          ...,            5,     2.000000,     0.040000,     0.000040,     0.080000,            1,     0.025947,     0.025947,     0.324334,     0.324334,            2,     0.162752,     0.042817,     0.471903,     0.339899,            3,     0.304929,     0.093798,     0.686614,     0.391221,            4,     0.454921,     0.180189,     0.999018,     0.494550,            5,     0.616285,     0.304929,     1.453562,     0.686614,
          ...,            5,     2.000000,     0.040000,     0.000040,     0.120000,            1,     0.038920,     0.038920,     0.324334,     0.324334,            2,     0.181628,     0.056413,     0.471903,     0.339899,            3,     0.332394,     0.109447,     0.686614,     0.391221,            4,     0.494882,     0.199971,     0.999018,     0.494550,            5,     0.674427,     0.332394,     1.453562,     0.686614,
          ...,            5,     2.000000,     0.040000,     0.000040,     0.160000,            1,     0.051893,     0.051893,     0.324334,     0.324334,            2,     0.200504,     0.070009,     0.471903,     0.339899,            3,     0.359858,     0.125095,     0.686614,     0.391221,            4,     0.534843,     0.219753,     0.999018,     0.494550,            5,     0.732570,     0.359858,     1.453562,     0.686614,
          ...,            5,     2.000000,     0.040000,     0.000040,     0.200000,            1,     0.064867,     0.064867,     0.324334,     0.324334,            2,     0.219381,     0.083605,     0.471903,     0.339899,            3,     0.387323,     0.140744,     0.686614,     0.391221,            4,     0.574804,     0.239535,     0.999018,     0.494550,            5,     0.790712,     0.387323,     1.453562,     0.686614,
          ...,            5,     2.000000,     0.040000,     0.000040,     0.240000,            1,     0.077840,     0.077840,     0.324334,     0.324334,            2,     0.238257,     0.097201,     0.471903,     0.339899,            3,     0.414787,     0.156393,     0.686614,     0.391221,            4,     0.614764,     0.259317,     0.999018,     0.494550,            5,     0.848855,     0.414787,     1.453562,     0.686614,
          ...,            5,     2.000000,     0.040000,     0.000040,     0.280000,            1,     0.090814,     0.090814,     0.324334,     0.324334,            2,     0.257133,     0.110797,     0.471903,     0.339899,            3,     0.442252,     0.172042,     0.686614,     0.391221,            4,     0.654725,     0.279099,     0.999018,     0.494550,            5,     0.906997,     0.442252,     1.453562,     0.686614,
          ...,            5,     2.000000,     0.040000,     0.000040,     0.320000,            1,     0.103787,     0.103787,     0.324334,     0.324334,            2,     0.276009,     0.124393,     0.471903,     0.339899,            3,     0.469716,     0.187691,     0.686614,     0.391221,            4,     0.694686,     0.298881,     0.999018,     0.494550,            5,     0.965140,     0.469716,     1.453562,     0.686614,
          ...,            5,     2.000000,     0.040000,     0.000040,     0.360000,            1,     0.116760,     0.116760,     0.324334,     0.324334,            2,     0.294885,     0.137989,     0.471903,     0.339899,            3,     0.497181,     0.203340,     0.686614,     0.391221,            4,     0.734646,     0.318663,     0.999018,     0.494550,            5,     1.007898,     0.497181,    -0.930180,     0.686614,
