        NOTES,            N,           dT,           dt,          dtt,            t,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
         init,            3,     0.000000,     0.000000,     0.000000,     0.000000,            1,     0.018403,     0.052548,     0.707107,     0.707107,            2,     0.028560,     0.049582,     0.707107,     0.707107,            3,     0.027716,     0.004074,     0.707107,     0.707107,
          sim,            3,     4.000000,     0.200000,     0.000200,     0.200000,            1,     0.163077,     0.194855,     0.726802,     0.712405,            2,     0.172214,     0.191999,     0.720587,     0.713071,            3,     0.171442,     0.150940,     0.721023,     0.740177,
          ...,            3,     4.000000,     0.200000,     0.000200,     0.400000,            1,     0.308443,     0.337337,     0.726833,     0.712411,            2,     0.316335,     0.334614,     0.720606,     0.713077,            3,     0.315650,     0.298986,     0.721043,     0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     0.600000,            1,     0.453810,     0.479819,     0.726833,     0.712411,            2,     0.460456,     0.477230,     0.720606,     0.713077,            3,     0.459859,     0.447033,     0.721043,     0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     0.800000,            1,     0.599177,     0.622301,     0.726833,     0.712411,            2,     0.604578,     0.619845,     0.720606,     0.713077,            3,     0.604068,     0.595080,     0.721043,     0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     1.000000,            1,     0.744543,     0.764783,     0.726833,     0.712410,            2,     0.748699,     0.762461,     0.720606,     0.713077,            3,     0.748276,     0.743127,     0.721043,     0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     1.200000,            1,     0.889898,     0.907236,     0.726399,     0.711440,            2,     0.892806,     0.905050,     0.720105,     0.712197,            3,     0.892471,     0.891161,     0.720550,     0.739783,
          ...,            3,     4.000000,     0.200000,     0.000200,     1.400000,            1,     1.030421,     1.041572,     0.606160,     0.523072,            2,     1.031716,     1.040060,     0.592617,     0.534821,            3,     1.031519,     1.033860,     0.594093,     0.606011,
          ...,            3,     4.000000,     0.200000,     0.000200,     1.600000,            1,     1.032378,     1.020012,    -0.596995,    -0.628439,            2,     1.030988,     1.021818,    -0.596065,    -0.623409,            3,     1.031194,     1.029083,    -0.595630,    -0.627887,
          ...,            3,     4.000000,     0.200000,     0.000200,     1.800000,            1,     0.892261,     0.880855,    -0.726349,    -0.712120,            2,     0.891923,     0.882769,    -0.720125,    -0.712760,            3,     0.892077,     0.885436,    -0.720559,    -0.739889,
          ...,            3,     4.000000,     0.200000,     0.000200,     2.000000,            1,     0.746908,     0.738381,    -0.726833,    -0.712410,            2,     0.747815,     0.740163,    -0.720606,    -0.713077,            3,     0.747883,     0.737398,    -0.721043,    -0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     2.200000,            1,     0.601541,     0.595899,    -0.726833,    -0.712411,            2,     0.603694,     0.597547,    -0.720606,    -0.713077,            3,     0.603674,     0.589351,    -0.721043,    -0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     2.400000,            1,     0.456175,     0.453417,    -0.726833,    -0.712411,            2,     0.459573,     0.454932,    -0.720606,    -0.713077,            3,     0.459465,     0.441304,    -0.721043,    -0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     2.600000,            1,     0.310808,     0.310935,    -0.726833,    -0.712411,            2,     0.315452,     0.312316,    -0.720606,    -0.713077,            3,     0.315256,     0.293257,    -0.721043,    -0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     2.800000,            1,     0.165442,     0.168453,    -0.726806,    -0.712387,            2,     0.171331,     0.169702,    -0.720586,    -0.713055,            3,     0.171048,     0.145212,    -0.721023,    -0.740157,
          ...,            3,     4.000000,     0.200000,     0.000200,     3.000000,            1,     0.020706,     0.026491,    -0.708759,    -0.697621,            2,     0.027693,     0.027582,    -0.706649,    -0.698909,            3,     0.027330,    -0.001371,    -0.706898,    -0.699705,
          ...,            3,     4.000000,     0.200000,     0.000200,     3.200000,            1,    -0.064595,    -0.064781,     0.182663,     0.098339,            2,    -0.065551,    -0.064975,     0.095150,     0.086754,            3,    -0.065533,    -0.055563,     0.099897,     0.421577,
          ...,            3,     4.000000,     0.200000,     0.000200,     3.400000,            1,     0.052543,     0.043675,     0.721635,     0.704846,            2,     0.044157,     0.042710,     0.713271,     0.705226,            3,     0.044616,     0.078224,     0.713845,     0.738478,
          ...,            3,     4.000000,     0.200000,     0.000200,     3.600000,            1,     0.197741,     0.185901,     0.726829,     0.712401,            2,     0.188034,     0.185060,     0.720598,     0.713068,            3,     0.188585,     0.226218,     0.721036,     0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     3.800000,            1,     0.343107,     0.328383,     0.726833,     0.712411,            2,     0.332155,     0.327676,     0.720606,     0.713077,            3,     0.332793,     0.374265,     0.721043,     0.740235,
          ...,            3,     4.000000,     0.200000,     0.000200,     4.000000,            1,     0.488474,     0.470865,     0.726833,     0.712411,            2,     0.476276,     0.470291,     0.720606,     0.713077,            3,     0.477002,     0.522312,     0.721043,     0.740235,
