        NOTES,            N,           dT,           dt,          dtt,            t,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
         init,            6,     0.000000,     0.000000,     0.000000,     0.000000,            1,     0.600000,     0.500000,    -0.001000,    -0.000000,            2,     0.550000,     0.586603,    -0.000500,    -0.000866,            3,     0.450000,     0.586603,     0.000500,    -0.000866,            4,     0.400000,     0.500000,     0.001000,    -0.000000,            5,     0.450000,     0.413397,     0.000500,     0.000866,            6,     0.550000,     0.413397,    -0.000500,     0.000866,
          sim,            6,    10.000000,     0.200000,     0.000200,     0.200000,            1,     0.625671,     0.500000,     0.231290,    -0.000000,            2,     0.562836,     0.608835,     0.115647,     0.200303,            3,     0.437164,     0.608835,    -0.115647,     0.200303,            4,     0.374329,     0.500000,    -0.231290,    -0.000000,            5,     0.437164,     0.391165,    -0.115647,    -0.200303,            6,     0.562836,     0.391165,     0.115647,    -0.200303,
          ...,            6,    10.000000,     0.200000,     0.000200,     0.400000,            1,     0.682355,     0.500000,     0.319340,    -0.000000,            2,     0.591178,     0.657924,     0.159671,     0.276557,            3,     0.408822,     0.657924,    -0.159671,     0.276557,            4,     0.317645,     0.500000,    -0.319340,    -0.000000,            5,     0.408822,     0.342076,    -0.159671,    -0.276557,            6,     0.591178,     0.342076,     0.159671,    -0.276557,
          ...,            6,    10.000000,     0.200000,     0.000200,     0.600000,            1,     0.749759,     0.500000,     0.349935,    -0.000000,            2,     0.624881,     0.716299,     0.174969,     0.303054,            3,     0.375119,     0.716299,    -0.174969,     0.303054,            4,     0.250241,     0.500000,    -0.349935,    -0.000000,            5,     0.375119,     0.283701,    -0.174969,    -0.303054,            6,     0.624881,     0.283701,     0.174969,    -0.303054,
          ...,            6,    10.000000,     0.200000,     0.000200,     0.800000,            1,     0.821205,     0.500000,     0.362902,    -0.000000,            2,     0.660604,     0.778173,     0.181452,     0.314284,            3,     0.339396,     0.778173,    -0.181452,     0.314284,            4,     0.178795,     0.500000,    -0.362902,    -0.000000,            5,     0.339396,     0.221827,    -0.181452,    -0.314284,            6,     0.660604,     0.221827,     0.181452,    -0.314284,
          ...,            6,    10.000000,     0.200000,     0.000200,     1.000000,            1,     0.894503,     0.500000,     0.369408,    -0.000000,            2,     0.697253,     0.841651,     0.184705,     0.319918,            3,     0.302747,     0.841651,    -0.184705,     0.319918,            4,     0.105497,     0.500000,    -0.369408,    -0.000000,            5,     0.302747,     0.158349,    -0.184705,    -0.319918,            6,     0.697253,     0.158349,     0.184705,    -0.319918,
          ...,            6,    10.000000,     0.200000,     0.000200,     1.200000,            1,     0.968785,     0.500000,     0.373091,    -0.000000,            2,     0.734394,     0.905981,     0.186547,     0.323107,            3,     0.265606,     0.905981,    -0.186547,     0.323107,            4,     0.031215,     0.500000,    -0.373091,    -0.000000,            5,     0.265606,     0.094019,    -0.186547,    -0.323107,            6,     0.734394,     0.094019,     0.186547,    -0.323107,
          ...,            6,    10.000000,     0.200000,     0.000200,     1.400000,            1,     0.964786,     0.500000,    -0.373182,    -0.000000,            2,     0.771826,     0.970818,     0.187705,     0.325182,            3,     0.228174,     0.970818,    -0.187705,     0.325182,            4,     0.035214,     0.500000,     0.373182,    -0.000000,            5,     0.228174,     0.029182,    -0.187705,    -0.325182,            6,     0.771826,     0.029182,     0.187705,    -0.325182,
          ...,            6,    10.000000,     0.200000,     0.000200,     1.600000,            1,     0.890320,     0.500000,    -0.371533,    -0.000000,            2,     0.809463,     0.971296,     0.188646,    -0.325111,            3,     0.190537,     0.971296,    -0.188646,    -0.325111,            4,     0.109680,     0.500000,     0.371533,    -0.000000,            5,     0.190537,     0.028704,    -0.188646,     0.325111,            6,     0.809463,     0.028704,     0.188646,     0.325111,
          ...,            6,    10.000000,     0.200000,     0.000200,     1.800000,            1,     0.816164,     0.500000,    -0.370114,    -0.000000,            2,     0.847287,     0.906549,     0.189662,    -0.322129,            3,     0.152713,     0.906549,    -0.189662,    -0.322129,            4,     0.183836,     0.500000,     0.370114,    -0.000000,            5,     0.152713,     0.093451,    -0.189662,     0.322129,            6,     0.847287,     0.093451,     0.189662,     0.322129,
          ...,            6,    10.000000,     0.200000,     0.000200,     2.000000,            1,     0.742203,     0.500000,    -0.369730,    -0.000000,            2,     0.885386,     0.842530,     0.191535,    -0.317904,            3,     0.114614,     0.842530,    -0.191535,    -0.317904,            4,     0.257797,     0.500000,     0.369730,    -0.000000,            5,     0.114614,     0.157470,    -0.191535,     0.317904,            6,     0.885386,     0.157470,     0.191535,     0.317904,
